Part Number,Model,Description,QTY
COMP_N,EODA18H-2436 / EODA18H-4860,Lock nut (Compressor 231235530),0
231235158,EODA18H-2436 / EODA18H-4860,Low Pressure Sensor (Green) [NSK-BH020D-660] 0-2.0 Mpa,0
230904159,EODA18H-2436 / EODA18H-4860,Noise Filter,0
230904306,EODA18H-2436 / EODA18H-4860,Nut for 230904159 Noise Filter,0
COMP_S,EODA18H-2436 / EODA18H-4860,Old Plated Screw (Compressor 231235530),0
230901018,EODA18H-2436 / EODA18H-4860,Pipe Temperature Sensor Assembly (TL) (TH),0
10104100090,EODA18H-2436 / EODA18H-4860,Pipe Temperature Sensor Assembly (TL) (TH),0
COMP_PC,EODA18H-2436 / EODA18H-4860,Plastic Cover (Compressor 231235530),0
230904302,EODA18H-2436 / EODA18H-4860,Power Cable (BLACK),0
230904301,EODA18H-2436 / EODA18H-4860,Power Cable (RED),0
230904304,EODA18H-2436 / EODA18H-4860,Power cable connecting EMI and PCB (BLACK),0
230904303,EODA18H-2436 / EODA18H-4860,Power cable connecting EMI and PCB (RED),0
NS00296,EODA18H-2436 / EODA18H-4860,Power Cable Kit ( 4 cables bag kit) to connect noise filter 230904159,0
230801628,EODA18H-2436 / EODA18H-4860,Roof Support Frame (Top Panel Metal reinforce),0
COMP_W,EODA18H-2436 / EODA18H-4860,Rubber Washer (Compressor 231235530),0
230901233,EODA18H-2436 / EODA18H-4860,Temperature Sensor Assembly (TS) (TA) NTC Sensor,0
230904254,EODA18H-2436 / EODA18H-4860,Thermostat Wiring Connector,0
230803291,EODA18H-2436 / EODA18H-4860,Top Cover Assembly,0
17401203015949,EODA18H-2436 / EODA18H-4860,Wiring Harness Electric Power Cable,0
NS00297,EODA18H-2436 / EODA18H-4860,Wrench L-Shape for 230904159 Noise Filter,0
ADAPTER1,EODA18H-2436 / EODA18H-4860 - [EG910L],IoT Gateway Adapter Connector (G3 Adaptor),0
ADAPTER2,EODA18H-2436 / EODA18H-4860 - [EG910L],IoT Gateway Adapter Connector (L Shaped Connection)(G3 Adaptor) - [Special] ,0
92014-000860,EODA18H-2436B,Compressor,0
230904101,EODA18H-2436B,Noise Filter,0
92007-011809,EODA18H-2436B,Reversing Valve Assy,0
230803310,EODA18H-2460 / EODA18H-2448,"Electrically ControlLED Mounting Board (21 1/2"")",0
231235155,EODA18H-4860,4-Way Valve Assembly,0
231235078,EODA18H-4860,4-Way Valve Body,0
231235079,EODA18H-4860,4-Way Valve Coil,0
3120130060,EODA18H-4860,Block Valve,0
231235532,EODA18H-4860,Compressor(MNB42FCKMC-L),0
231235271,EODA18H-4860,Condenser,0
231235477,EODA18H-4860,Condenser Assembly,0
231235154,EODA18H-4860,Condenser Inlet Pipe Assembly,0
231235153,EODA18H-4860,Condenser Outlet Pipe Assembly,0
231235779,EODA18H-4860,Electronic Expansion Valve (EEV) [UKVF32D19](Reversing Valve),0
231235854,EODA18H-4860,High-Pressure Valve Assembly,0
230803139,EODA18H-4860,Lower Side Plate,0
230904157,EODA18H-4860,"MotherBoard Component(9 1/2 x 13 1/2"")",0
230904161,EODA18H-4860,PFC Inductor,0
231235471,EODA18H-4860,Pipe Joint Assembly,0
231236289,EODA18H-4860,Refrigerant Accumulator,0
NS00400,EODA18H-4860,Screws,0
230802064A,EODA18H-4860,"Side Board Assembly [Three lines Hole] (19 3/4 Width x 31 1/2"" Length)",0
230802065A,EODA18H-4860,"Side Board Assembly [Two lines Hole] (13 1/2 Width x 31 1/2 "" Length)",0
231235149,EODA18H-4860,Suction Pipe Assembly,0
230801609B,EODA18H-4860,"Supporting Board (31 1/2"") Bigger Panel",0
230803309,EODA18H-4860,Upper Cover Plate,0
230904102,EODA18H-4860B,Noise Filter,0
92007-011812,EODA18H-4860B,Reversing Valve Assy,0
11103020006279,ESCA16H-36,Compressor (DC Inverter Rotary),0
15422000017593,ESCA16H-36,Electronic expansion valve assembly,0
15422000017595,ESCA16H-36,Electronic expansion valve subassembly,0
17122000056145,ESCA16H-36,Inverter module assembly,0
15500204000482,ESCA16H-36,Low Pressure valve,0
17122000056147,ESCA16H-36,Main Control Board assembly,0
15700101000876,ESCA16H-36,Plate heat exchanger subassembly,0
17400516000850,ESCA16H-36,Pressure switch,0
15500216000681,ESCA16H-36 / ESCA16H-60,4-way valve,0
11002015009825,ESCA16H-36 / ESCA16H-60,Brushless DC Motor 2,0
11201007003124,ESCA16H-36 / ESCA16H-60,Discharge Temperature Sensor 1,0
17122000058153,ESCA16H-36 / ESCA16H-60,Inverter module subassembly,0
15500204000021,ESCA16H-36 / ESCA16H-60,Low Pressure Valve,0
11201007000136,ESCA16H-36 / ESCA16H-60,Pipe Temperature Sensor,0
11201007003445,ESCA16H-36 / ESCA16H-60,Pipe Temperature Sensor,0
11201007003441,ESCA16H-36 / ESCA16H-60,Pipe Temperature Sensor 1,0
11201008000773,ESCA16H-36 / ESCA16H-60,Pressure sensor,0
17400516000851,ESCA16H-36 / ESCA16H-60,Pressure switch,0
11201007003425,ESCA16H-36 / ESCA16H-60,Room Temperature Sensor 1,0
